,Rank,,Age,Events,Rounds,Cuts Made,Top 10s,Wins,Earnings,Yards/Drive,Driving Accuracy,Greens in Regulation,Putting Average,Sand Save Pct,Eagles,Birdies,Pars,Bogies
Rank,1,,,,,,,,,,,,,,,,,
,#DIV/0!,1,,,,,,,,,,,,,,,,
Age,0.145304836,#DIV/0!,1,,,,,,,,,,,,,,,
Events,-0.230715261,#DIV/0!,-0.165596676,1,,,,,,,,,,,,,,
Rounds,-0.443830011,#DIV/0!,-0.164750961,0.948268023,1,,,,,,,,,,,,,
Cuts Made,-0.677826054,#DIV/0!,-0.178667878,0.722790944,0.895642261,1,,,,,,,,,,,,
Top 10s,-0.801994679,#DIV/0!,-0.187117899,0.132833026,0.311138246,0.532493585,1,,,,,,,,,,,
Wins,-0.572801778,#DIV/0!,-0.153229896,0.030402918,0.141457199,0.29923362,0.612241692,1,,,,,,,,,,
Earnings,-0.833928506,#DIV/0!,-0.160131583,0.100223066,0.291769239,0.539786941,0.888086718,0.807256877,1,,,,,,,,,
Yards/Drive,-0.249957056,#DIV/0!,-0.26494188,-0.01690544,0.045286146,0.152589674,0.316988406,0.274309677,0.356016837,1,,,,,,,,
Driving Accuracy,-0.03302453,#DIV/0!,0.14673162,-0.024696563,0.012369422,0.023279272,-0.061121879,-0.091076005,-0.070210036,-0.571445953,1,,,,,,,
Greens in Regulation,-0.288560357,#DIV/0!,-0.020205858,-0.069222705,0.12078201,0.280739321,0.280038583,0.14445549,0.291207125,0.392200595,0.230039528,1,,,,,,
Putting Average,0.406074052,#DIV/0!,0.145702299,-0.010488733,-0.161959009,-0.28045028,-0.449111018,-0.313447427,-0.427707908,-0.028533873,0.166962145,0.243090335,1,,,,,
Sand Save Pct,-0.23284486,#DIV/0!,-0.041405862,0.016559213,0.088967773,0.161061519,0.168020828,0.070610371,0.165133273,-0.170357299,-0.015896372,-0.219283579,-0.287413899,1,,,,
Eagles,-0.367137145,#DIV/0!,-0.165183155,0.425904034,0.503815547,0.520570061,0.347525978,0.236755962,0.393937052,0.362337429,-0.110271846,0.221771485,-0.186752074,-0.105162438,1,,,
Birdies,-0.530967259,#DIV/0!,-0.17142995,0.873014365,0.966712634,0.917301056,0.443461612,0.236926686,0.41803811,0.167492269,-0.029020325,0.246857116,-0.368432528,0.114816701,0.537782917,1,,
Pars,-0.392507941,#DIV/0!,-0.092418767,0.938538861,0.994041972,0.877778715,0.273109494,0.103241553,0.243499832,-0.012163255,0.066419128,0.136984711,-0.092873348,0.132890368,0.473073632,0.944465129,1,
Bogies,-0.294741994,#DIV/0!,-0.123222205,0.924927552,0.940969832,0.792129236,0.14836184,0.059605086,0.147292577,0.038638015,-0.076088947,-0.122229484,-0.037571774,-0.063033073,0.474821716,0.885010064,0.91566338,1
